,prompt,completion
26,Como visualizar os documentos dos trabalhadores anexados?,"Resposta Para visualizar os documentos que já foram anexados, siga as orientaões abaixo
1 Na aba menu, clique em Carregamento de Documentos
2 Depois clique em Carregar Mobilizaão ou Carregar Mensal se for o caso
3 Pesquise pelo contrato ou contratada
4 Localize a mobilizaão ou a competência do colaborador e clique em acessar carregamento
5 Na etapa 7 do carregamento, desmarque a flag Mostrar apenas pendentes
6 Clique no nome do colaborador que você deseja visualizar o anexo feito
 Fazendo isso, você pode visualizar o status da sua documentaão, se atentando a coluna progresso. Caso deseje baixar os arquivos, basta clicar em cima do anexo que o download será feito automaticamente.


"
27,Como visualizar os documentos da empresa anexados?,"Resposta Para visualizar os documentos que já foram anexados, siga as orientaões abaixo
1 Na aba menu, clique em Carregamento de Documentos 
2 Depois clique em Carregar Mobilizaão ou Carregar Mensal se for o caso
3 Pesquise pelo contrato ou contratada
4 Localize a mobilizaão ou competência do colaborador e clique em acessar carregamento
5 Na etapa 6 do carregamento, desmarque a flag Mostrar apenas pendentes
6 Clique no nome do documento que você deseja visualizar o anexo feito
 Fazendo isso, você pode visualizar o status da sua documentaão, se atentando a coluna progresso. Caso deseje baixar os arquivos, basta clicar em cima do anexo que o download será feito automaticamente.

"
28,Como Inserir Comentários?,"Resposta Sempre que for preciso justificar a falta de um documento ou informar que o documento solicitado no sistema não se aplica, basta realizar a inclusão de um comentário. Para isso siga as instruões abaixo
1Clique em comentário ícone verde com formato de balão httpss3.amazonaws.commovideskfiles4936A6AA88E969BCB4644069FA896EF0
2Depois clique em inserir um comentário httpss3.amazonaws.commovideskfiles664C1593A6A442F478A83C4A51E499FB
3Digite a justificativa e clique em salvar httpss3.amazonaws.commovideskfiles873725C1D1961182365037642A60B13A , em seguida em fechar httpss3.amazonaws.commovideskfiles908D1FB399C868D034A83C70D54ECBFD.
 Pronto, o seu comentário ou a sua justificativa foi incluída no sistema e será analisada.

"
29,Como anexar documentos em lote?,"Resposta Para anexar um arquivo para vários colaboradores, siga as instruões abaixo
1 Na etapa 7 Anexar Documentos dos trabalhadores, selecione os colaboradores que estão contemplados no arquivo ou cliquei em selecionar todosse for caso.
2 Selecione o tipo do documento e clique em Carregar Arquivo.
3 Aguarde até que o documento carregue no sistema.   
 Atenão Para inclusão dos documentos utilize apenas o navegador Google Chrome, e certifiquese de que os arquivos estão no formato PDF, com tamanho máximo de 20MB.
 Atenão Reforamos que, o carregamento de documento em lote é um recurso que deve ser utilizado para a inclusão de um documento que, por sua natureza, contemple todos ou mais de um colaborador. Não aceitaremos para fins de análise o agrupamento de documentos individuais.

"
30,Como localizar alguns documentos e modelos de documentos disponibilizados pelo Cliente?,"Resposta No portal NewContract V3, você sabia que consegue ter acesso a alguns documentos e modelos de documentos que o seu cliente disponibiliza?
 Vamos te ensinar o passo a passo
 No menu, clique em utilitários
 Clique em documentoslinks por contratante
 Selecione qual a sua contratante
 Logo abaixo, se o seu cliente disponibilizou os documentosmodelos irão aparecer a descrião e o documento para realizar o download
 Baixe o documento clicando em download

"
31,Como regularizar as pendências?,"Resposta Para regularizar as pendências você precisa acessar a competênciamobilizaão, e fazer o upload dos arquivos nas etapas 6 e 7.
 Para localizalas, siga o passo a passo
1 Na aba de Menu, clique em Carregamento de Documentos e depois Carregar Mobilizaão ou Carregar Mensal, se for o caso
2 Digite o n do contrato no campo de busca e clique em pesquisar. Em seguida o sistema irá exibir todas as competências do contrato
3 Clique em Acessar Carregamento, na competênciaMobilizaão que deseja
4 Para regularizar um documento da empresa, clique na etapa 6
5 Clique no ícone vermelho para visualizar a pendência
6 Para anexar o documento, clique em carregar arquivo, selecione o arquivo e clique em Abrir. Caso a pendência não seja aplicável, clique em Comentário e depois Inserir um comentário. Adicione uma justificativa e clique em Salvar
7 Para regularizar um documento do trabalhador, clique na etapa 7
8 Clique em cima do nome do colaborador, e clique no ícone vermelho para visualizar a pendência
9 Para anexar o documento, clique em carregar arquivo, selecione o arquivo e clique em Abrir. Caso a pendência não seja aplicável, clique em Comentário e depois Inserir um comentário. Adicione uma justificativa e clique em Salvar.

"
32,Como anexar documentos da empresa no carregamento mensal?,"Resposta Para anexar os documentos da empresa, utilize apenas o navegador Google Chrome, e certifiquese de que os arquivos estão no formato PDF, com tamanho máximo de 20MB.
 Para inclui os arquivos, siga o passo a passo
1 Clique na aba Carregamento de Documentos e depois Carregar Mensal
2 Digite o n do contrato no campo de busca e clique em Pesquisar. Em seguida o sistema irá exibir todas as competências do contrato
3 Após localizar a competência, clique em Acessar Carregamento
4 Clique na etapa 6 Anexar Documentos da Empresa
5 Clique em cima do nome do documento
6 Clique em Carregar Arquivo, selecione o arquivo e clique em Abrir.
7 Após anexar todos os documentos, clique no botão  no final da página.
8 Assista o tutorial para saber mais httpswww.youtube.comwatch?vEfTuZR19YGU
 Importante Se os nomes dos colaboradores não estiverem visíveis, desmarque a opão Mostrar Apenas Pendentes.

"
33,Como anexar documentos da empresa na mobilizaão?,"Resposta Para anexar os documentos da empresa, utilize apenas o navegador Google Chrome, e certifiquese de que os arquivos estão no formato PDF, com tamanho máximo de 20MB. Também lembramos de que a mobilizaão só será analisada após o envio de todos os documentos ou justificativas.
 Os documentos da empresa podem ser anexados de duas formas a depender do seu projeto, elas são
1 Envio dos documentos na etapa 6
 Clique na aba Carregamento de Documentos e depois Carregar Mobilizaão
 Digite o n do contrato no campo de busca e clique em Pesquisar. Em seguida o sistema irá exibir todas as mobilizaões do contrato
 Após localizar a mobilizaão, clique em Acessar Carregamento
 Clique na etapa 6 Anexar Documentos da Empresa
 Clique em cima do nome do documento
 Clique em Carregar Arquivo, selecione o arquivo e clique em Abrir.
 Após anexar todos os documentos, clique no botão no final da página.
ATENÃO Se os nomes dos colaboradores não estiverem visíveis, desmarque a opão Mostrar Apenas Pendentes.
2 Envio dos documentos na competência da empresa
 Caso o seu cliente tenha optado por possuir uma mobilizaão especifica para incluir a documentaão da empresa você só precisará seguir os seguintes passos
1 Clique na aba Carregamento de Documentos e depois Carregar Mobilizaão
2 Digite o n do contrato no campo de busca e clique em Pesquisar. Em seguida o sistema irá exibir todas as mobilizaões do contrato
3  Após localizar a competência de Documentos da empresa, clique em Acessar Carregamento
4  Clique na etapa 1 Anexar Documentos da Empresa Caso não aparea as solicitaões dos documentos, desmarque a opão Mostrar apenas pendentes
5 Clique em cima do nome do documento Depois em Carregar Arquivo, selecione o arquivo e clique em Abrir
6 Após inserir todos os arquivos, clique em próximo e será direcionado para a etapa 2. Na etapa 2, clique em Reenviar Documentos Recebidos e pronto, seu arquivo foi enviado para análise. Agora é só aguardar o prazo de análise que é de 3 dias úteis.
7 Assista o tutorial para saber mais httpswww.youtube.comwatch?vEfTuZR19YGU
Observaão A mobilizaão exclusiva para documentaão da empresa varia de acordo com o cliente, ou seja, há clientes que a possuem e clientes que não. No caso dos que não possuem a documentaão da empresa vai ser solicitada a cada mobilizaão criada e precisa ser incluída na etapa 6.
Observaão Há clientes que possuem a mobilizaão de documentaão da empresa para documentos específicos Exemplo Programa de Gerenciamento de Riscos PGR. Nesse caso apenas o PGR era incluído nessa mobilizaão e os demais documentos da empresa Exemplo Programa de Controle Médico de Saúde Ocupacional PCMSO, precisará ser incluído a cada nova mobilizaão criada.

"
34,Como anexar documentos dos trabalhadores,"Resposta Para anexar os documentos dos trabalhadores, utilize apenas o navegador Google Chrome, e certifiquese de que os arquivos estão no formato PDF, com tamanho máximo de 20MB.
 Para inclui os arquivos, siga o passo a passo
1 Clique na aba Carregamento de Documentos e depois Carregar Mobilizaão ou Carregar Mensal, se for o caso
2 Digite o n do contrato no campo de busca e clique em Pesquisar. Em seguida o sistema irá exibir todas as competênciasmobilizaões do contrato
3 Após localizar a mobilizaãocompetência, clique em Acessar Carregamento
4 Clique na etapa 7 Anexar Documentos dos Trabalhadores
5 Clique em cima do nome do colaborador para visualizar a solicitaão dos documentos
6 No documento que deseja anexar, clique em Carregar Arquivo, selecione o arquivo e clique em Abrir.
7 Assista o tutorial para saber mais httpswww.youtube.comwatch?vZBzCep78ewg
Atenão Se os nomes dos colaboradores não estiverem visíveis, desmarque a opão Mostrar Apenas Pendentes.

"
35,Quais são os documentos necessario para mobilizar um colaborador estrangeiro?,"Resposta Para mobilizar um colaborador estrangeiro é importante se atentar aos documentos necessários
 Passaporte  Documento que identifica o viajante em outros países. Nele são registradas entradas e saídas, vistos e autorizaões, para a identificaão da nacionalidade e quanto tempo o estrangeiro irá permanecer no Brasil.
 Registro nacional de estrangeiro CRNM É o documento que atesta a identidade de indivíduos estrangeiros com residência temporária ou permanente no Brasil, é obrigatório registrase na Polícia Federal.
 Autorizaão para trabalho emitido pelo MTE É autorizaão de trabalho que se converte em visto temporário.
 Também é importante a apresentaão dos seguintes documentos para que seja realizada uma análise completa para preservar a saúde e integridade física dos colaboradores e minimizaão dos riscos
 Ficha de EPI Ficha de equipamento de proteão individual, cujo o objetivo é controlar a entrega dos equipamentos para que o colaborador não sofra algum dano à saúde no decorrer de sua atividade laboral, conforme a Norma Regulamentadora 06.
 Aso Atestado de saúde ocupacional, que tem por objetivo atestar se o funcionário está apto ou não para exercer as funões profissionais para o cargo indicado, conforme a Norma Regulamentadora 07.
 Certificados de treinamentos Conforme a funão que o estrangeiro irá exercer.
 OBS Lembrando que se for cobrado outro tipo de documento é por solicitaão do cliente no qual irá prestar servio.

"
36,Como realizar convalidaão e complementaão de Certificados de treinamentos?,"Resposta Você pode convalidar ou complementar um certificado de treinamento, para isto, basta seguir as informaões abaixo
 Caso um treinamento esteja vigente e foi recebido pelo trabalhador durante o período em que era empregado de outra empresa, poderá ser convalidado reaproveitado ou complementado reaproveitado com acréscimo de conteúdo e carga horária pela empresa atual.
 Lembrando que o certificado poderá ser aceito antes da admissão do trabalhador, sem a necessidade de convalidaão, desde que o trabalhador, tenha buscado por si mesmo uma instituião de ensino para atualizar o seu conhecimento. Assim não poderá evidenciar que o treinamento foi realizado por uma contratante anterior, caso evidencie, é necessário a convalidaão ou complementaão pela contratante atual.
 Se a contratante atual treinou o trabalhador sem têlo admitido com comprovaão na CTPS, este certificado não está conforme e ela mesma não pode se auto convalidar pois os treinamentos nas NRs são considerados como tempo de trabalho efetivo de acordo com a NR01, item 1.6.2.
 Quando não possuir data de validade de acordo com a NR, o treinamento no qual o trabalhador recebeu capacitaão não poderá ter sido realizado há mais de 2 anos, pois a convalidaãocomplementaão não é permitida. Deste modo o trabalhador deverá receber nova capacitaão de maneira integral. 
 O treinamento Admissional NR 18.28 também conhecido como Integraão e o treinamento sobre o Uso e Conservaão de EPIs NR 06 não podem ser convalidados e nem complementados, pois estão totalmente vinculados aos riscos e procedimentos específicos da atual funão do trabalhador.

 Agora vamos te explicar quais os itens que deverá conter no certificado de Convalidaão ou Complementaão
A informaão de que se trata de um Certificado de Complementaão ou de Convalidaão
Nome e assinatura do trabalhador
Conteúdo programático se for uma complementaão, deve informar também o conteúdo que foi complementado
Carga Horária se for uma complementaão, deve informar também a carga horária que foi complementada
Data do treinamento se for uma complementaão, deve informar também data do treinamento complementar 
Local de realizaão do treinamento se for complementaão, deve informar também local em que foi complementado
Nome e qualificaão do responsável pela ministraão do treinamento incluindo observar se possui o n de registro do profissional no órgão competente
 Quando for apenas uma convalidaão, não é necessária assinatura do instrutor. Se for uma complementaão, pediremos a assinatura apenas do instrutor que complementou o treinamento
 Caso a contratante não possui profissional SST, o responsável legal da empresa deverá assinar, informando seu nome, CPF e cargo sócio, diretor, etc
Local e data da atual emissão do Certificado de ComplementaãoConvalidaão.
 Vale lembrar que quando um funcionário é desligado de uma empresa e posteriormente recontratado por ela após 90 dias, aceitaremos os mesmos certificados de treinamentos oferecidos pela empresa antes de o trabalhador ser desligado.
 Observaremos apenas se o certificado ainda está vigente quando houver esse controle. Para esse caso não é necessário realizar a convalidaão, pois a convalidaão ocorre quando o treinamento ocorreu entre empresas diferentes.

"
37,Como alterar dados ou incluir colaboradores em uma Mobilizaão?,"Resposta Você precisa ajustar alguma informaão do colaborador na mobilizaão? Esse tutorial é para você!
 Caso tenha inserido algum dado errado ou queira inserir um colaborador em uma mobilizaão já criada, agora é possível realizar esse procedimento no portal. Lembrando que esse procedimento só é permitido no mesmo dia de criaão da mobilizaão.
 Exemplo Se a mobilizaão foi criada no dia 09092022, a alteraão dos dados ou inclusão de colaboradores na mobilizaão, só pode ser realizada até as 2359 do dia 09092022.
 Caso queira alterar algum dado após a data de criaão, será necessário entrar em contato com nossa central de atendimento para solicitar uma crítica de funcionário.
 Observaão Nesse procedimento não é possível alterar a matrícula do colaborador.
 Para alterar as informaões dos colaboradores que já estão na competência, siga as orientaões abaixo
1 Clique na opão carregamento de documentos
2 Clique em carregar mobilizaão
3 Pesquise o contrato e ache a data da mobilizaão.
4 Acesse a mobilizaão que deseja alterar os dados ou incluir um novo colaborador, clicando no ícone.
5 Na etapa 8, clique em ModificarAdicionar dados dos colaboradores da competência.
6 Na etapa 4, para alterar informaões dos colaboradores já cadastrados, basta localizar o colaborador, alterar no campo desejado e clicar em salvar  próximo.
7 Para incluir um novo colaborador, clique na etapa 2. Depois, clique em adicionar ou inserir uma nova planilha e por ultimo clicar em salvar  próximo.

"
38,Como Mobilizar Sócios?,"Resposta Sabemos que é possível que você vá pessoalmente prestar servios na base da contratante em algum momento. Para isso, um documento que comprove a sua condião de sócio da empresa deve ser apresentado para que possamos realizar a validaão. Existem 3 documentos capazes de fazer esta comprovaão. São eles O Certificado de Condião de Microempreendedor Individual CCMEI, ou o Requerimento do Empresário, ou o Contrato Social. A seguir, te explicamos um pouco mais sobre eles
 Certificado de Condião de Microempreendedor Individual CCMEI
 Tratase do documento que atesta que uma empresa está aberta. Este documento comprova a inscrião no CNPJ e Junta Comercial do Estado e serve como alvará de funcionamento do negócio do Microempreendedor, neste caso ele é o proprietário e não possui sócios.
 Requerimento do Empresário
 É emitido quando um empreendedor que não se enquadra na categoria MEI abre uma empresa individual, onde não há sócios. Ele também é registrado na Junta Comercial do Estado.
 Contrato Social
 É o documento que formaliza a abertura da empresa mediante a Junta Comercial e nele constam todas as normas que a empresa terá que seguir para funcionar. No caso do contrato social a empresa possui mais de um sócio.
 Ao mobilizar o proprietário da empresa cadastrada no portal a sua classificaão no sistema na etapa 2 precisa ser de SócioPJ, dessa forma o sistema automaticamente solicita apenas os documentos necessários a essa classificaão. O Sistema também irá gerar outros campos para solicitar documentos relacionados à sua saúde e segurana, de acordo com as exigências da sua contratante e das Normas Legais em vigor.

"
39,Como excluir um colaborador da integraão?,"Resposta Siga as seguintes instruões para excluir um colaborador da integraão
1 Na aba de menu, clique em Integraão e depois Agendar integraão.
2 Selecione a contratante e busque pela unidade na qual realizou o agendamento. Você também pode pesquisar pela data clicando no calendário
3 Após localizar a unidade, clique em Inserir Colaborador
4 No final da página a relaão dos colaboradores agendados estará em Colaborador na Integraão. Busque pelo nome do colaborador e clique no x para remover.

"
40,Como localizar alguns documentos e modelos de documentos disponibilizados pelo Cliente?,"Resposta No portal NewContract V3, você sabia que consegue ter acesso a alguns documentos e modelos de documentos que o seu cliente disponibiliza?
 Vamos te ensinar o passo a passo
 No menu, clique em utilitários
 Clique em documentoslinks por contratante
 Selecione qual a sua contratante
 Logo abaixo, se o seu cliente disponibilizou os documentosmodelos irão aparecer a descrião e o documento para realizar o download
 Baixe o documento clicando em download

"
41,Como localizar a mobilizaão?,"Resposta Para localizar a mobilizaão, siga as orientaões abaixo
1 Clique na aba Carregamento de Documentos e depois Carregar Mobilizaão
2 Digite o n do contrato no campo de busca e clique em pesquisar. Em seguida o sistema irá exibir todas as mobilizaões do contrato.
 Obs. Você também pode utilizar o filtro Competência, para selecionar o mês de busca. Lembramos também que, caso possua muitas mobilizaões, deverá clicar em próximo no final da página, para acessar as outras páginas.

"
42,Como regularizar as pendências de colaborador na Mobilizaão?,"Resposta Para regularizar as pendências do colaborador na mobilizaão, você deverá seguir as instruões
 Atenão Não é preciso criar uma nova mobilizaão para regularizar as pendências, basta acessar a mobilizaão existente.
 Siga o passo a passo
1 Já com acesso ao portal, clique na Aba Carregamento de documentos e depois Carregar mobilizaão no menu do lado esquerdo da tela
2 No campo de busca, digite o seu contrato ou Nome da empresa e clique em Pesquisar
3 Quando localizada a mobilizaão, clique em Acessar carregamento, no canto direito da tela. Este é o ícone
4 Após acessar a mobilizaão, você clicará na etapa 7 etapa de documentos de colaboradores
5 Na etapa 7, verifique se o filtro Mostrar apenas pendentes está marcado
6 Para os colaboradores com Documentos não entregues  , clique em
7 Identifique os colaboradores que possui o ícone de pendência
8 Clique no ícone para verificar a não conformidade
9  Clique em carregar documento para anexar o documento atualizado
10 Selecione o documento e clique em abrir.
11 Após anexar todos os documentos, clique em Próximo.
 Lembrese Para que a mobilizaão seja analisada, todos os documentos que estão pendentes precisam ser anexados ou justificadosincluindo um comentário no ícone .

"
43,Como confirmar o agendamento da Integraão?,"Resposta Após realizar o agendamento da integraão, dentro de alguns minutos é encaminhado para o email cadastrado um comunicado confirmando o agendamento. Caso não tenha recebido, é só acessar a integraão para qual realizou o agendamento repetindo o passo a passo do agendamento, e conferir em Colaborador na integraão, se o nome do colaborador está listado. Se estiver, está confirmado!
 Caso não saiba como localizar a integraão para qual realizou o agendamento, siga o passo a passo
1 Na aba de menu, clique em Integraão e depois Agendar integraão. Selecione a contratante e busque pela unidade na qual realizou o agendamento. Você também pode pesquisar pela data clicando no calendário
2 Após localizar a unidade, clique em Inserir Colaborador
3 No final da página a relaão dos colaboradores agendados estará em Colaborador na Integraão. Busque pelo nome do colaborador.
4 Se o nome do colaborador não estiver, é necessário que realize o agendamento.

"
44,Como reativar um colaborador na mobilizaão?,"Resposta Siga os seguites passos para realizar a reativaão de um colaborador na mobilizaão
1 Na aba de Menu, clique em Carregamento de Documentos.
2 Clique em Carregar Mobilizaão.
3 Digite o n do contrato no campo de busca e clique em Pesquisar. Em seguida o sistema irá exibir todas as mobilizaões do contrato.
4 Na mobilizaão que o colaborador está inativado, clique no segundo botão do lado direito Colaboradores.
5 No colaborador que deseja ativar, clique em Editar abaixo de Aões.
5Clique em Ativar colaborador.
 Após realizar esse procedimento, verifique nas etapas 6 e 7 da mesma mobilizaão, se precisa atualizar algum documento.
 Importante Ainda ficou com dúvidas? Que tal assistir o tutorial? Link do tutorial httpswww.youtube.comwatch?vFkn5wvSWzG8

"
45,Como incluir colaboradores na mobilizaão?,"Resposta 11 A inclusão de colaboradores ocorre na etapa 2. Assista o tutorial para aprender a como realizar esse procedimento httpswww.youtube.comwatch?vJRGkkCg6VE

"
46,Como emitir Crachá?,"Resposta Esta funcionalidade permite que os crachás dos colaboradores sejam emitidos. Você também poderá alterar a foto, imprimir o cartão, baixar documentos, visualizar integraão do colaborador e documentos pendentes.
 Para consultar ou emitir o crachá, siga as orientaões abaixo
 Ao clicar em você será direcionado para a página de edião e impressão
 Você pode inserir uma foto do trabalhador e estando Aprovado, ficará disponível opão Imprimir
 As informaões contidas no crachá são
1 Nome do trabalhador
2 Funão
3 Empresa
4 CPF
5 Validade da Integraão
6 Validade do ASO
7 Validades dos treinamentos de NR.
 Observaões
 checkmark 1  A Barra da funão é ajustável de acordo com a quantidade de caracteres da funão do colaborador.
 checkmark 1  Na impressão, já aparece a marcaão para o furo do crachá.

"
47,Como anexar documentos da empresa na mobilizaão?,"Resposta Para anexar os documentos da empresa, utilize apenas o navegador Google Chrome, e certifiquese de que os arquivos estão no formato PDF, com tamanho máximo de 20MB. Também lembramos de que a mobilizaão só será analisada após o envio de todos os documentos ou justificativas.
 Os documentos da empresa podem ser anexados de duas formas a depender do seu projeto, elas são
1  Primeira forma  Envio dos documentos na etapa 6
1 Clique na aba Carregamento de Documentos e depois Carregar Mobilizaão
2 Digite o n do contrato no campo de busca e clique em Pesquisar. Em seguida o sistema irá exibir todas as mobilizaões do contrato
3 Após localizar a mobilizaão, clique em Acessar Carregamento
4 Clique na etapa 6 Anexar Documentos da Empresa
5 Clique em cima do nome do documento
6 Clique em Carregar Arquivo, selecione o arquivo e clique em Abrir.
7 Após anexar todos os documentos, clique no botão no final da página.
 ATENÃO Se os nomes dos colaboradores não estiverem visíveis, desmarque a opão Mostrar Apenas Pendentes.
2  Segunda forma  Envio dos documentos na competência da empresa
 Caso o seu cliente tenha optado por possuir uma mobilizaão especifica para incluir a documentaão da empresa você só precisará seguir os seguintes passos
1 Clique na aba Carregamento de Documentos e depois Carregar Mobilizaão
2 Digite o n do contrato no campo de busca e clique em Pesquisar. Em seguida o sistema irá exibir todas as mobilizaões do contrato
3  Após localizar a competência de Documentos da empresa, clique em Acessar Carregamento
4  Clique na etapa 1 Anexar Documentos da Empresa Caso não aparea as solicitaões dos documentos, desmarque a opão Mostrar apenas pendentes
5 Clique em cima do nome do documento Depois em Carregar Arquivo, selecione o arquivo e clique em Abrir
6 Após inserir todos os arquivos, clique em próximo e será direcionado para a etapa 2. Na etapa 2, clique em Reenviar Documentos Recebidos e pronto, seu arquivo foi enviado para análise. Agora é só aguardar o prazo de análise que é de 3 dias úteis.
Observaão A mobilizaão exclusiva para documentaão da empresa varia de acordo com o cliente, ou seja, há clientes que a possuem e clientes que não. No caso dos que não possuem a documentaão da empresa vai ser solicitada a cada mobilizaão criada e precisa ser incluída na etapa 6.
Observaão Há clientes que possuem a mobilizaão de documentaão da empresa para documentos específicos Exemplo Programa de Gerenciamento de Riscos PGR. Nesse caso apenas o PGR era incluído nessa mobilizaão e os demais documentos da empresa Exemplo Programa de Controle Médico de Saúde Ocupacional PCMSO, precisará ser incluído a cada nova mobilizaão criada.
Caso ainda tenha dúvidas, assista o tutorial abaixo httpswww.youtube.comwatch?vEfTuZR19YGU

"
48,Como alterar dados dos Colaboradores na MOBILIZAÃO Crítica de Funcionário?,"Resposta Você sabe o que quer dizer esse termo e como alteraratualizar as informaões cadastrais do colaborador no sistema New Contract?
 Se não sabe, vamos te ensinar agora.
 Em algumas situaões é necessário atualizaralterar as informaões fornecidas no momento do cadastro daquele colaborador e a essa aão nós atribuímos o nome de crítica de funcionário. A crítica funciona em duas etapas, a primeira realizada pela equipe da Bernhoeft, para isso você, fornecedor, precisa entrar em contato conosco para efetuarmos a habilitaão. A segunda etapa é com você, que precisa confirmar no sistema que realizamos a alteraão, conforme solicitado.
 Vamos ao passoapasso
 Na primeira etapa, você deverá entrar em contato com a nossa equipe de atendimento através do número 11 41186665 ou através do Chat, clicando no ícone da interrogaão no canto inferior direito da tela do portal.
Informe os dados que precisam ser alterados. Exemplo de alteraões nome, CPF, PIS, funão, classificaão, local de servio, etc.
 Segunda etapa Acesse a mobilizaão, clicando em carregamento de documentos  carregar mobilizaão  digite o contrato e filtre a data da competência. Ao fazer isso verá que o ícone de acessar carregamento estará vermelho, isso significa que a etapa de atualizaão está liberada.
 Clicando em Acessar carregamento, você será direcionado para a etapa 4 e poderá atualizar o item solicitado, que estará tracejado em laranja, assim como no exemplo
 Realizando a confirmaão da alteraão a escrita precisa ser a mesma que será exibida no balão Valor encontrado incluindo letras maiúsculas e minúsculas, conforme mostramos
Após alterar, clique no botão Próximo e pronto, sua alteraão foi realizada
 Para conferir se de fato ocorreu a alteraão, verifique em utilitários  consultar colaboradores em mobilizaão e digite os dados necessários.
 Ah! Não esquea de usar os filtros disponíveis.
 Ressaltamos que não é possível alterar no sistema o item Matrícula, entretanto para mobilizaão esse item não gera contratempos em sua análise.
 Se a alteraão for na funão do colaborador, os documentos atualizados devem ser inseridos antes, já constando a nova funão do colaborador. São eles ASO quando houver mudana de funão com mudana de riscos, Ordem de servio e Ficha de EPI caso os EPIs mudem da funão antiga para a nova. Se forem necessários novos treinamentos nas NRs em decorrência dessa mudana de funão, os certificados de treinamento também devem ser apresentados.

"
49,Como anexar documentos dos trabalhadores?,"Resposta Para anexar os documentos dos trabalhadores, utilize apenas o navegador Google Chrome, e certifiquese de que os arquivos estão no formato PDF, com tamanho máximo de 20MB.
 Para inclui os arquivos, siga o passo a passo
1 Clique na aba Carregamento de Documentos e depois Carregar Mobilizaão ou Carregar Mensal, se for o caso
2 Digite o n do contrato no campo de busca e clique em Pesquisar. Em seguida o sistema irá exibir todas as competênciasmobilizaões do contrato
3 Após localizar a mobilizaãocompetência, clique em Acessar Carregamento
4 Clique na etapa 7 Anexar Documentos dos Trabalhadores
5 Clique em cima do nome do colaborador para visualizar a solicitaão dos documentos
6 No documento que deseja anexar, clique em Carregar Arquivo, selecione o arquivo e clique em Abrir.
 ATENÃO Se os nomes dos colaboradores não estiverem visíveis, desmarque a opão Mostrar Apenas Pendentes.
 Importante Caso ainda tenha dúvidas, assista o tutorial httpswww.youtube.comwatch?vZBzCep78ewg

"
50,Como verificar o prazo de análise da mobilizaão?,"Resposta A mobilizaão seguirá para análise após o envio de todos os documentos e justificativas. Para acompanhar o prazo de envio do relatório é bem simples e vamos explicar agora!smile
 Siga as seguintes orientaões
1 Na barra de menu, clique em Relatórios e clique em Prazos da Mobilizaão
2 Selecione a contratante e digite o número do contrato
3 Selecione as opões Exibir todos os prazos e Considerar Reanálise. Em Quantidade, digite 100
4 Clique em Solicitar Relatório,
5 Ao clicar em Solicitar Relatório, observe que a coluna Status ficará com a informaão Agendada. Atualize a página até que o status mude para Finalizada
6 Clique em Download para baixar o relatório em excel e verifique as colunas Prazo e Indicador, conforme abaixo
 Indicador cinza, prazo 4  indica que a mobilizaão possui pendências e ainda falta anexar algum documento
 Indicador verde, prazo 3  até 3 dias úteis
 Indicador verde, prazo 2 até 2 dias úteis
 Indicador amarelo, prazo 1 até 1 dias útil
 Indicador amarelo, prazo 0 o relatório será enviado no dia
 Indicador Azul o relatório ja foi enviado e a mobilizaão está conforme.
7 Assista o tutorial para saber mais httpswww.youtube.comwatch?v9snce1AiVf0

"
51,Como agendar uma integraão?,"Resposta Para realizar o agendamento da integraão é necessário que os colaboradores estejam com o status Conforme após a avaliaão dos documentos.
 Atenão As datas disponíveis no sistema Bernhoeft são cadastradas pela contratante. Caso não tenha turma para o dia e o local desejado, entre em contato com o seu contratante.
 Para o agendamento, siga o passo a passo
1 Na aba de menu, clique em Integraão e depois Agendar integraão. Selecione a contratante e em Buscar, digite a unidade para qual deseja o atendimento, ou se preferir, também pode pesquisar pela data clicando no calendário
2 Após localizar a unidade, clique em Inserir Colaborador
3 Em Pesquisar colaborador selecione a sua empresa e clique em Pesquisar
4 Clique em adicionar para realizar o agendamento.
5 Assista o tutorial para saber mais httpswww.youtube.comwatch?vXeuB9n728g

"
52,"Como consultar o colaborador em mobilizaão, status do colaborador, unidade e validade de integraões?","Resposta Para verificar a data da mobilizaão que se encontra o colaborador, validade das integraões, status do colaborador e data de validade dos documentos, siga as orientaões a seguir
1 No menu, clique na aba Utilitários.
2 Clique em Consultar colaboradores em Mobilizaão.
3 Selecione o seu cliente e digite o nome do colaborador. Se preferir, insira o n do CPF e RG.
4 Você pode marcar a opão Desagrupar Terceiros para visualizar as integraões do colaborador de forma separada.
5 Clique em Pesquisar.
6 Assista o tutorial para saber mais httpswww.youtube.comwatch?vQH1AmeqjQro
Atenão Você também pode fazer a busca pelo n do contrato clicando em Filtros e selecionando apenas Contrato. Feito isso, digite o contrato e clique em pesquisar
Observaão A opão de desagrupar terceiros é para separar as integraões do colaborador, caso ele tenha mais que uma integraão lanada no portal.

"
